"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","latitude","longitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",921937628,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","beringei","SUBSPECIES","Gorilla beringei beringei","Gorilla beringei subsp. beringei","","RW","Virunga NP Ruanda","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",-1.536295,29.470793,250,NA,NA,NA,NA,NA,"2011-10-04T00:00",4,10,2011,4267319,7262070,"HUMAN_OBSERVATION","naturgucker","naturgucker","1290647146","","","","CC_BY_4_0","","-1339463157","","","2024-03-15T23:26:58.605Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"2",911503267,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/714421","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla","","CM","","Est","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",2.509913,15.88699,31436,NA,NA,NA,NA,NA,"2014/5/3",3,5,2014,4267318,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","714421","","Jakob Fahr","2014-06-03T11:17:45","CC_BY_4_0","Jakob Fahr","Jakob Fahr","","","2024-11-25T06:59:45.127Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"3",891073609,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/58994","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","diehli","SUBSPECIES","Gorilla gorilla diehli Matschie, 1903","Gorilla gorilla diehli","","CM","","Sud-Ouest","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.082184,9.690293,31362,NA,NA,NA,NA,NA,"2012-02-17T13:49",17,2,2012,4267321,2436441,"HUMAN_OBSERVATION","iNaturalist","Observations","58994","","Matt Muir","2012-03-20T02:31:56","CC_BY_4_0","Matt Muir","Matt Muir","","","2024-11-25T06:26:06.727Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"4",865726799,"5a659248-1f70-11e3-b2c5-00145eb45e9a","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla (Savage, 1847)","","GA","","","PRESENT",NA,"23539a57-1347-4dd3-af2a-cf9478563baa",-0.8,11.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4267318,2436441,"PRESERVED_SPECIMEN","MHNG","Mammals housed at MHNG, Geneva","MHNG-MAM-850.014","","","","CC_BY_NC_4_0","","F. Grébert","","","2024-01-24T18:36:15.983Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"5",865726798,"5a659248-1f70-11e3-b2c5-00145eb45e9a","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla beringei","graueri","SUBSPECIES","Gorilla beringei graueri Matschie, 1914","Gorilla beringei graueri Matschie, 1914","","TZ","Wabembe, au Nord-Ouest du Tanganyika/Kigoma Region","","PRESENT",NA,"23539a57-1347-4dd3-af2a-cf9478563baa",-4.88,29.63,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4267322,7262070,"PRESERVED_SPECIMEN","MHNG","Mammals housed at MHNG, Geneva","MHNG-MAM-738.031","","","","CC_BY_NC_4_0","","","","","2024-01-24T18:36:16.458Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"6",865726797,"5a659248-1f70-11e3-b2c5-00145eb45e9a","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla (Savage, 1847)","","GA","Ogooue-Maritime; Fernan Vas","","PRESENT",NA,"23539a57-1347-4dd3-af2a-cf9478563baa",-1.57853,9.26101,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4267318,2436441,"PRESERVED_SPECIMEN","MHNG","Mammals housed at MHNG, Geneva","MHNG-MAM-581.018","","","","CC_BY_NC_4_0","","","","","2024-01-24T18:36:07.205Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"7",865726796,"5a659248-1f70-11e3-b2c5-00145eb45e9a","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla (Savage, 1847)","","GA","","","PRESENT",NA,"23539a57-1347-4dd3-af2a-cf9478563baa",-0.8,11.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4267318,2436441,"PRESERVED_SPECIMEN","MHNG","Mammals housed at MHNG, Geneva","MHNG-MAM-618.071","","","","CC_BY_NC_4_0","","inconnu","","","2024-01-24T18:36:19.955Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"8",865726795,"5a659248-1f70-11e3-b2c5-00145eb45e9a","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla (Savage, 1847)","","CM","Batouri district; Village de Lelo","","PRESENT",NA,"23539a57-1347-4dd3-af2a-cf9478563baa",4.3333,14.1167,NA,NA,NA,NA,NA,NA,"1933/2/15",15,2,1933,4267318,2436441,"PRESERVED_SPECIMEN","MHNG","Mammals housed at MHNG, Geneva","MHNG-MAM-854.089","","","","CC_BY_NC_4_0","","Fred Merfield via Rowland Ward Ltd","","","2024-01-24T18:36:20.587Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"9",865726792,"5a659248-1f70-11e3-b2c5-00145eb45e9a","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla (Savage, 1847)","","GA","","","PRESENT",NA,"23539a57-1347-4dd3-af2a-cf9478563baa",-0.8,11.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4267318,2436441,"PRESERVED_SPECIMEN","MHNG","Mammals housed at MHNG, Geneva","MHNG-MAM-727.048","","","","CC_BY_NC_4_0","","","","","2024-01-24T18:36:17.341Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"10",865726791,"5a659248-1f70-11e3-b2c5-00145eb45e9a","","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla","gorilla","SUBSPECIES","Gorilla gorilla gorilla","Gorilla gorilla gorilla (Savage, 1847)","","GA","Ogooue-Ivindo; Ovan (=Collioura) sur l’Ivindo, affluent de l’Ogoué","","PRESENT",NA,"23539a57-1347-4dd3-af2a-cf9478563baa",0.3167,12.1667,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,4267318,2436441,"PRESERVED_SPECIMEN","MHNG","Mammals housed at MHNG, Geneva","MHNG-MAM-851.066","","","","CC_BY_NC_4_0","","Galley","","","2024-01-24T18:36:17.341Z","","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
